"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Test formatScoredJobsTable sorts with skip reasons at the end","","2026-06-07","passed","2026-06-07","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testSortWithSkipReasonsAtEnd"
"","1","buildPrompt includes all candidate skill buckets","","2026-06-07","passed","2026-06-07","","SkillsRestructureNodeTest","com.jd.pipeline.nodes.tailor.SkillsRestructureNodeTest","promptIncludesSkillBuckets"
"","0","Should preserve input fields when returning error","","2026-06-07","passed","2026-06-07","","SupabaseTrackNodeTest","com.jd.pipeline.nodes.SupabaseTrackNodeTest","testPreservesFieldsOnError"
"","52","sets ERROR state when bridge API is unreachable","triggerExtraction — bridge submission","2026-06-07","passed","2026-06-07","","","",""
"","28","Content-Disposition on cover letter includes filename()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.ArtifactApiTest","com.jdbridge.integration.ArtifactApiTest","Content-Disposition on cover letter includes filename"
"","0","Test sanitizeFileName collapses multiple underscores","","2026-06-07","passed","2026-06-07","","sanitizeFileName Tests","com.jd.pipeline.utils.OutputUtilsTest$SanitizeFileNameTests","testSanitizeFileNameCollapsesUnderscores"
"","2","writeMetadata should handle errors in state","","2026-06-07","passed","2026-06-07","","MetadataUtilsTest","com.jd.pipeline.utils.MetadataUtilsTest","testWriteMetadataHandlesError"
"","31","submit missing jd_text returns 400()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.SubmitJobValidationTest","com.jdbridge.integration.SubmitJobValidationTest","submit missing jd_text returns 400"
"","1","fromEmail() should include candidateProfile when SINGLETON is loaded","","2026-06-07","passed","2026-06-07","","JDState with candidateProfile Tests","com.jd.pipeline.state.CandidateProfileLoadingTest$JDStateWithCandidateProfileTests","testFromEmailIncludesCandidateProfile"
"","2","extracts external script src URL","","2026-06-07","passed","2026-06-07","","script extraction","com.jd.pipeline.client.gmail.EmailParserTest$ScriptExtraction","externalScript"
"","5","Should deserialize with missing optional fields","","2026-06-07","passed","2026-06-07","","Jackson Deserialization Tests","com.jd.pipeline.models.JobListingTest$JacksonDeserializationTests","testDeserializeWithMissingFields"
"","1","Test edge case with empty job list","","2026-06-07","passed","2026-06-07","","Batch Summary Metrics Tests","com.jd.pipeline.cli.MainTest$BatchSummaryMetricsTests","testEmptyJobList"
"","24","mocked LLM rewrites bullets and populates career + projects","","2026-06-07","passed","2026-06-07","","BulletRewriteNodeProcessTest","com.jd.pipeline.nodes.tailor.BulletRewriteNodeProcessTest","mockedLlmRewritesBullets"
"","0","process returns input unchanged when already marked as job posting","","2026-06-07","passed","2026-06-07","","ScanEmailNodeTest","com.jd.pipeline.nodes.ScanEmailNodeTest","processReturnsInputWhenAlreadyJobPosting"
"","53","sets PROCESSING state and starts polling after successful bridge submission","triggerExtraction — bridge submission","2026-06-07","passed","2026-06-07","","","",""
"","15","getJob returns all fields after enqueue and result()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.StoreGetJobTest","com.jdbridge.unit.StoreGetJobTest","getJob returns all fields after enqueue and result"
"","10","null fit_score rows are excluded by default threshold","Index Page","2026-06-07","passed","2026-06-07","","fit score display","",""
"","2","decodes HTML entity ampersand","","2026-06-07","passed","2026-06-07","","cleanUrl","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$CleanUrl","decodesAmpersand"
"","20","claimNext transitions job to claimed()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.StoreClaimTest","com.jdbridge.unit.StoreClaimTest","claimNext transitions job to claimed"
"","2","type field is 'api' for Api context","","2026-06-07","passed","2026-06-07","","IntakeContext.Api serialization","com.jd.pipeline.utils.JsonUtilTest$ApiSerialization","typeIsApi"
"","0","DEFAULT_LIST should contain exactly 2 configs","","2026-06-07","passed","2026-06-07","","Companion Object DEFAULT_LIST Preset Tests","com.jd.pipeline.config.JSearchConfigTest$DefaultListPresetTests","testDefaultListSize"
"","1","shouldPreserveExistingFields()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.nodes.AddArtifactUrlNodeTest","com.jd.pipeline.nodes.AddArtifactUrlNodeTest","shouldPreserveExistingFields"
"","0","lensa()","","2026-06-07","passed","2026-06-07","","groupFor — exact domain matches","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$ExactDomainMatches","lensa"
"","9","worker posts a SKIP error result when pipeline throws","","2026-06-07","passed","2026-06-07","","WorkerCommandHandlerTest","com.jd.pipeline.cli.commands.WorkerCommandHandlerTest","workerPostsErrorResultOnPipelineException"
"","0","omits blank optional fields","","2026-06-07","passed","2026-06-07","","buildDigestSummaryText","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$BuildDigestSummaryText","omitsBlankOptionalFields"
"","1","signedInFlag()","","2026-06-07","passed","2026-06-07","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","signedInFlag"
"","1","returns workable for workable.com","JD Extractor","2026-06-07","passed","2026-06-07","","pickExtractor()","",""
"","1","Should override datePosted correctly","","2026-06-07","passed","2026-06-07","","Custom Values Override Tests","com.jd.pipeline.config.JSearchConfigTest$CustomValuesTests","testOverrideDatePosted"
"","6","bridge submit exception is caught — email is not labeled as processing","","2026-06-07","passed","2026-06-07","","single job-posting email","com.jd.pipeline.cli.commands.BatchCommandHandlerTest$SingleJobPosting","bridgeSubmitExceptionCaught"
"","2","Unsupported extension throws IllegalArgumentException","","2026-06-07","passed","2026-06-07","","File type detection","com.jd.pipeline.nodes.GenerateResumeHtmlNodeTest$FileTypeDetectionTests","shouldThrowForUnsupportedExtension"
"","0","emailWithDebug()","","2026-06-07","passed","2026-06-07","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","emailWithDebug"
"","8","returns innerText of first selector with substantial content","JD Extractor","2026-06-07","passed","2026-06-07","","inner() helper","",""
"","16","resetBatch clears batchBlockedDomains and batchLinkedInSessionExpired","","2026-06-07","passed","2026-06-07","","batch state management","com.jd.pipeline.nodes.ScrapeJdNodeProcessTest$BatchState","resetBatchClearsState"
"","3","shouldHandleNullLabelId()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldHandleNullLabelId"
"","2","fillTemplate should use 'Applicant' fallback when fullName is blank","","2026-06-07","passed","2026-06-07","","Template Filling with candidateProfile","com.jd.pipeline.nodes.CreateDraftReplyNodeTest$TemplateFillingTests","testFillTemplateBlankNameFallback"
"","20","calls the extractor when available","Content Script","2026-06-07","passed","2026-06-07","","EXTRACT_JD message","",""
"","0","matches 'within the US'","","2026-06-07","passed","2026-06-07","","looksLikeLocation","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$LooksLikeLocation","matchesWithinUS"
"","13","returns null when no selector matches","JD Extractor","2026-06-07","passed","2026-06-07","","t() helper","",""
"","0","returns indeed for indeed.com","JD Extractor","2026-06-07","passed","2026-06-07","","pickExtractor()","",""
"","23","renders medium-scoring badge (70-84)","Index Page","2026-06-07","passed","2026-06-07","","fit score display","",""
"","1","Two JDStates with same values should be equal","","2026-06-07","passed","2026-06-07","","JDState Equality Tests","com.jd.pipeline.state.JDStateTest$EqualityTests","testEqualStates"
"","1","complete response with all fields serializes correctly()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.JobStatusResponseSerializationTest","com.jdbridge.unit.JobStatusResponseSerializationTest","complete response with all fields serializes correctly"
"","1","Should skip when fitScore is null","","2026-06-07","passed","2026-06-07","","Node Skip Conditions","com.jd.pipeline.nodes.GenerateCoverLetterNodeTest$SkipConditionsTests","testSkipNullScore"
"","287","ingestion exception labels email with error and continues to next email","","2026-06-07","passed","2026-06-07","","ingestion error","com.jd.pipeline.cli.commands.BatchCommandHandlerTest$IngestionError","ingestionExceptionHandled"
"","1","fromValue round-trips all statuses()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.JobStatusValuesTest","com.jdbridge.unit.JobStatusValuesTest","fromValue round-trips all statuses"
"","0","Test sanitizeFileName trims leading and trailing underscores","","2026-06-07","passed","2026-06-07","","sanitizeFileName Tests","com.jd.pipeline.utils.OutputUtilsTest$SanitizeFileNameTests","testSanitizeFileNameTrimsUnderscores"
"","16","findActiveDuplicate returns null for error status job()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.StoreDedupTest","com.jdbridge.unit.StoreDedupTest","findActiveDuplicate returns null for error status job"
"","1","Should return empty list when no matches","","2026-06-07","passed","2026-06-07","","SupabaseIntegrationTest","com.jd.pipeline.integration.SupabaseIntegrationTest","testQueryNoMatches"
"","1","returns null for completely unknown domain","","2026-06-07","passed","2026-06-07","","groupFor — unknown and edge cases","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$UnknownAndEdgeCases","unknownDomain"
"","121","clicking '0' preset shows all tracks","Index Page","2026-06-07","passed","2026-06-07","","fit score filtering","",""
"","0","fullName uses firstName + lastName when both present","","2026-06-07","passed","2026-06-07","","CandidateProfileModelTest","com.jd.pipeline.models.CandidateProfileModelTest","fullNameFirstLast"
"","1","no gate when posted max meets or exceeds target TC","","2026-06-07","passed","2026-06-07","","Hard Gate: Compensation","com.jd.pipeline.nodes.ScoreFitNodeTest$CompHardGateTests","noGateWhenMeetsTarget"
"","174","three sequential submits each claim and complete independently()","","2026-06-07","passed","2026-06-07","","com.jdbridge.e2e.FullFlowE2ETest","com.jdbridge.e2e.FullFlowE2ETest","three sequential submits each claim and complete independently"
"","3","shouldMarkUnreadForRecruiterResponse()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldMarkUnreadForRecruiterResponse"
"","1","returns jazzhr for jazz.co","JD Extractor","2026-06-07","passed","2026-06-07","","pickExtractor()","",""
"","5","Should handle job_is_remote default when missing","","2026-06-07","passed","2026-06-07","","Null and Empty Field Handling Tests","com.jd.pipeline.models.JobListingTest$NullEmptyFieldTests","testRemoteDefaultWhenMissing"
"","3","resolveTailscaleHost returns valid Tailscale IP or null when sentinel used()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.TailscaleIpResolutionTest","com.jdbridge.unit.TailscaleIpResolutionTest","resolveTailscaleHost returns valid Tailscale IP or null when sentinel used"
"","2","should use cn for class name merging","NavLink","2026-06-07","passed","2026-06-07","","","",""
"","1","workday()","","2026-06-07","passed","2026-06-07","","groupFor — exact domain matches","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$ExactDomainMatches","workday"
"","6","SKIP result increments skipped count (no exception)","","2026-06-07","passed","2026-06-07","","single job-posting email","com.jd.pipeline.cli.commands.BatchCommandHandlerTest$SingleJobPosting","skipResultHandledCleanly"
"","0","Should override numPages correctly","","2026-06-07","passed","2026-06-07","","Custom Values Override Tests","com.jd.pipeline.config.JSearchConfigTest$CustomValuesTests","testOverrideNumPages"
"","1","Test formatScoredJobsTable generates correct table structure","","2026-06-07","passed","2026-06-07","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testTableStructure"
"","1","each parsed job is marked as a job posting","","2026-06-07","passed","2026-06-07","","valid plain-text digest","com.jd.pipeline.nodes.scan.digest.LinkedInDigestStrategyTest$ValidDigest","markedAsJobPosting"
"","1","all status enum values are correct strings()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.JobStatusValuesTest","com.jdbridge.unit.JobStatusValuesTest","all status enum values are correct strings"
"","2","writeMetadata should handle suppressed fields correctly","","2026-06-07","passed","2026-06-07","","MetadataUtilsTest","com.jd.pipeline.utils.MetadataUtilsTest","testWriteMetadataHandlesSuppressedFields"
"","16","extracts fields from Lever job pages","JD Extractor","2026-06-07","passed","2026-06-07","","Lever extractor","",""
"","7","invoke routes non-job-posting through saveNode and never calls scrape","","2026-06-07","passed","2026-06-07","","IngestionPipelineTest","com.jd.pipeline.pipeline.IngestionPipelineTest","invokeNonJobPostingSkipsScrape"
"","0","fromEmail() should create minimal JDState","","2026-06-07","passed","2026-06-07","","JDState.fromEmail() Tests","com.jd.pipeline.state.JDStateTest$FromEmailTests","testFromEmailCreatesMinimalState"
"","1","renderForTailoring omits the Preferences section entirely","","2026-06-07","passed","2026-06-07","","CandidateProfileRendererTest","com.jd.pipeline.utils.CandidateProfileRendererTest","renderForTailoringOmitsPreferences"
"","4","invoke returns error result when tailor subgraph fails","","2026-06-07","passed","2026-06-07","","ProcessingPipelineTest","com.jd.pipeline.pipeline.ProcessingPipelineTest","invokeHandlesTailorSubgraphError"
"","6","shouldHandleEmptyLabelName()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldHandleEmptyLabelName"
"","14","emailWithExpectedData()","","2026-06-07","passed","2026-06-07","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","emailWithExpectedData"
"","1","Test formatJobTable returns empty for empty list","","2026-06-07","passed","2026-06-07","","FormatJobTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatJobTableTests","testEmptyList"
"","1","Should handle label application failure","","2026-06-07","passed","2026-06-07","","GmailIntegrationTest","com.jd.pipeline.integration.GmailIntegrationTest","testLabelFailureHandling"
"","1751","test PDF placeholder is created with correct path and content()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.nodes.RenderResumePdfNodeTest","com.jd.pipeline.nodes.RenderResumePdfNodeTest","test PDF placeholder is created with correct path and content"
"","29","GET cover_letter when file missing returns 404 with detail()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.ArtifactApiTest","com.jdbridge.integration.ArtifactApiTest","GET cover_letter when file missing returns 404 with detail"
"","1","optional fields are absent from JSON when null()","","2026-06-07","passed","2026-06-07","","com.jdbridge.unit.SubmitJobRequestSerializationTest","com.jdbridge.unit.SubmitJobRequestSerializationTest","optional fields are absent from JSON when null"
"","2","initProfileFlag()","","2026-06-07","passed","2026-06-07","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","initProfileFlag"
"","1","assigns job URL from 'View job:' line in plain text","","2026-06-07","passed","2026-06-07","","parsing well-formed JobLeads HTML digest","com.jd.pipeline.nodes.scan.digest.JobLeadsDigestStrategyTest$WellFormedDigest","assignsUrl"
"","53","injects scripts when PING fails","triggerExtraction — injection path","2026-06-07","passed","2026-06-07","","","",""
"","8","extracts fields via data-test attributes","JD Extractor","2026-06-07","passed","2026-06-07","","Glassdoor extractor","",""
"","1","Test computeColumnWidths handles N/A fit score","","2026-06-07","passed","2026-06-07","","ComputeColumnWidths Tests","com.jd.pipeline.utils.JobFormatterTest$ComputeColumnWidthsTests","testFitScoreNA"
"","1","Test formatScoredJobsTable shows URL when within column width","","2026-06-07","passed","2026-06-07","","FormatScoredJobsTable Tests","com.jd.pipeline.utils.JobFormatterTest$FormatScoredJobsTableTests","testUrlWithinWidth"
"","6","tries multiple selectors and returns first hit","JD Extractor","2026-06-07","passed","2026-06-07","","inner() helper","",""
"","521","rejects after maxWaitMs timeout","Content Script","2026-06-07","passed","2026-06-07","","waitForContent function","",""
"","99","uses plural form for multiple applications","Index Page","2026-06-07","passed","2026-06-07","","rendering","",""
"","15","throws when extracted body is shorter than 150 chars","JD Extractor","2026-06-07","passed","2026-06-07","","__ocExtractJD integration","",""
"","1","skips blocks without a percentage match in plain text","","2026-06-07","passed","2026-06-07","","edge cases","com.jd.pipeline.nodes.scan.digest.JobrightDigestStrategyTest$EdgeCases","skipsBlocksWithoutPercent"
"","1","renderCandidateProfile leaves no unresolved placeholder braces","","2026-06-07","passed","2026-06-07","","ScoreFitNodeTest","com.jd.pipeline.nodes.ScoreFitNodeTest","noUnresolvedBraces"
"","5","work arrangement and office location are captured","","2026-06-07","passed","2026-06-07","","valid LLM response","com.jd.pipeline.nodes.ScoreFitNodeProcessTest$ValidResponse","workArrangementCaptured"
"","3","shouldTakeErrorPrecedenceOverRecruiterResponse()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldTakeErrorPrecedenceOverRecruiterResponse"
"","29","GET error job has error field and no artifacts()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.JobStatusApiTest","com.jdbridge.integration.JobStatusApiTest","GET error job has error field and no artifacts"
"","0","returns empty list for empty input","","2026-06-07","passed","2026-06-07","","edge cases","com.jd.pipeline.nodes.scan.digest.LinkedInDigestStrategyTest$EdgeCases","emptyInput"
"","2","toJdRecord maps blank string fields to null","","2026-06-07","passed","2026-06-07","","IngestionPipelineTest","com.jd.pipeline.pipeline.IngestionPipelineTest","toJdRecordBlanksToNull"
"","0","Test createOutputPath with numbers","","2026-06-07","passed","2026-06-07","","createOutputPath Tests","com.jd.pipeline.utils.OutputUtilsTest$CreateOutputPathTests","testCreateOutputPathWithNumbers"
"","0","monster()","","2026-06-07","passed","2026-06-07","","groupFor — exact domain matches","com.jd.pipeline.nodes.scan.digest.BoardRegistryTest$ExactDomainMatches","monster"
"","1","multiple jobs: role becomes 'Job digest (N jobs)'","","2026-06-07","passed","2026-06-07","","applyDigestSummary","com.jd.pipeline.nodes.scan.digest.DigestParseHelpersTest$ApplyDigestSummary","multiJobRoleLabel"
"","24","batch with empty array returns 202 and empty array()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.BatchSubmitApiTest","com.jdbridge.integration.BatchSubmitApiTest","batch with empty array returns 202 and empty array"
"","4","Should patch existing job record","","2026-06-07","passed","2026-06-07","","SupabaseIntegrationTest","com.jd.pipeline.integration.SupabaseIntegrationTest","testPatchJobRecord"
"","4","testFlag()","","2026-06-07","passed","2026-06-07","","CommandParserTest","com.jd.pipeline.cli.CommandParserTest","testFlag"
"","1","Test duplicate count includes only jobs where isDuplicate=true","","2026-06-07","passed","2026-06-07","","Batch Summary Metrics Tests","com.jd.pipeline.cli.MainTest$BatchSummaryMetricsTests","testDuplicateCountIncludesOnlyDuplicateJobs"
"","22","GET health returns 200()","","2026-06-07","passed","2026-06-07","","com.jdbridge.integration.HealthApiTest","com.jdbridge.integration.HealthApiTest","GET health returns 200"
"","3","shouldReturnCorrectLabelingResultForJdNotFound()","","2026-06-07","passed","2026-06-07","","com.jd.pipeline.cli.EmailLabelingServiceTest","com.jd.pipeline.cli.EmailLabelingServiceTest","shouldReturnCorrectLabelingResultForJdNotFound"
"","1","single recording appears in summary","","2026-06-07","passed","2026-06-07","","record and summary","com.jd.pipeline.utils.NodeTimerTest$RecordAndSummary","singleRecording"
"","0","extracts partner jobListing URLs","","2026-06-07","passed","2026-06-07","","extractGlassdoorJobUrls","com.jd.pipeline.nodes.scan.digest.GlassdoorDigestStrategyTest$ExtractJobUrls","extractsPartnerUrls"
"","5","still calls postTelegram when configured; the client handles unconfigured internally","","2026-06-07","passed","2026-06-07","","Telegram high-fit ping","com.jd.pipeline.cli.BatchNotificationServiceTest$TelegramPing","telegramMethodCalledWhenConfigured"
"","0","Should have default datePosted of 'today'","","2026-06-07","passed","2026-06-07","","Default Values Tests","com.jd.pipeline.config.JSearchConfigTest$DefaultValuesTests","testDefaultDatePosted"
"","33","Extracted text contains all paragraphs from DOCX","","2026-06-07","passed","2026-06-07","","DOCX text extraction","com.jd.pipeline.nodes.GenerateResumeHtmlNodeTest$DocxExtractionTests","shouldExtractAllParagraphsFromDocx"
"","1","empty/blank location shows — in table format","","2026-06-07","passed","2026-06-07","","CandidateProfileRendererTest","com.jd.pipeline.utils.CandidateProfileRendererTest","emptyLocationShowsDashInTable"
"","0","Test createOutputPath with special characters in company","","2026-06-07","passed","2026-06-07","","createOutputPath Tests","com.jd.pipeline.utils.OutputUtilsTest$CreateOutputPathTests","testCompanySlugging"
"","2","JdStructured deserializes from complete JSON with all fields","","2026-06-07","passed","2026-06-07","","TailorModelsTest","com.jd.pipeline.nodes.tailor.TailorModelsTest","jdStructuredComplete"
